广东频道,#genre#
CCTV-16,http://110.178.52.91:8082/rtp/239.1.1.122:8122
CCTV-16,http://60.27.20.30:5555/rtp/225.1.2.237:5002
CCTV-16,http://110.178.52.195:8085/rtp/239.1.1.122:8122
CCTV-16,http://118.79.115.210:6000/rtp/226.0.2.169:9264
CCTV-16,http://171.116.183.226:8085/rtp/226.0.2.169:9264
CCTV-16,http://223.12.154.103:8082/rtp/239.1.1.122:8122
CCTV-16,http://223.10.11.187:8083/rtp/239.1.1.122:8122
CCTV-16,http://111.167.49.238:5002/rtp/225.1.2.237:5002
CCTV-16,http://60.189.43.82:9999/rtp/233.50.201.192:5140
CCTV-16,http://219.140.224.108:5555/rtp/239.69.1.247:11124
卫视频道,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv$720x576
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv$720x576
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
湖南卫视,http://27.11.49.234:8002/rtp/225.0.4.75:7980$1920x1080
湖南卫视,http://124.163.112.145:6001/rtp/226.0.2.143:9056
湖南卫视,http://124.163.112.145:6001/rtp/226.0.2.33:8176
湖南卫视,http://183.130.6.35:8889/rtp/233.50.201.103:5140
湖南卫视,http://183.130.6.35:8889/rtp/233.50.201.52:5140
湖南卫视,http://171.116.226.246:8082/rtp/226.0.2.143:9056
湖南卫视,http://171.116.226.246:8082/rtp/226.0.2.33:8176
湖南卫视,http://115.201.166.117:9999/rtp/233.50.201.103:5140
湖南卫视,http://115.201.166.117:9999/rtp/233.50.201.52:5140
湖南卫视,http://110.178.52.91:8082/rtp/239.1.1.28:8028
湖南卫视,http://60.27.20.30:5555/rtp/225.1.1.114:5002
湖南卫视,http://110.178.52.195:8085/rtp/239.1.1.28:8028
湖南卫视,http://171.107.73.207:4000/rtp/239.81.0.40:4056
湖南卫视,http://118.79.115.210:6000/rtp/226.0.2.143:9056
湖南卫视,http://118.79.115.210:6000/rtp/226.0.2.33:8176
湖北卫视,http://125.37.160.173:4022/rtp/225.1.1.147:5002$1920x1080
湖北卫视,http://221.205.180.219:8005/rtp/226.0.2.150:9112$1920x1080
湖北卫视,http://221.205.180.219:8005/rtp/226.0.2.49:8304$720x576
湖北卫视,http://124.163.112.145:6001/rtp/226.0.2.150:9112
湖北卫视,http://124.163.112.145:6001/rtp/226.0.2.49:8304
湖北卫视,http://183.130.6.35:8889/rtp/233.50.201.114:5140
湖北卫视,http://183.130.6.35:8889/rtp/233.50.201.43:5140
湖北卫视,http://171.116.226.246:8082/rtp/226.0.2.150:9112
湖北卫视,http://171.116.226.246:8082/rtp/226.0.2.49:8304
湖北卫视,http://115.201.166.117:9999/rtp/233.50.201.114:5140
湖北卫视,http://115.201.166.117:9999/rtp/233.50.201.43:5140
湖北卫视,http://110.178.52.91:8082/rtp/239.1.1.32:8032
湖北卫视,http://60.27.20.30:5555/rtp/225.1.1.147:5002
湖北卫视,http://110.178.52.195:8085/rtp/239.1.1.32:8032
湖北卫视,http://171.107.73.207:4000/rtp/239.81.0.41:4056
东方卫视,http://27.11.49.234:8002/rtp/225.0.4.80:7980$1920x1080
东方卫视,http://124.163.112.145:6001/rtp/226.0.2.175:9312
东方卫视,http://124.163.112.145:6001/rtp/226.0.2.34:8184
东方卫视,http://183.130.6.35:8889/rtp/233.50.201.125:5140
东方卫视,http://183.130.6.35:8889/rtp/233.50.201.68:5140
东方卫视,http://171.116.226.246:8082/rtp/226.0.2.175:9312
东方卫视,http://171.116.226.246:8082/rtp/226.0.2.34:8184
东方卫视,http://115.201.166.117:9999/rtp/233.50.201.125:5140
东方卫视,http://115.201.166.117:9999/rtp/233.50.201.68:5140
东方卫视,http://60.27.20.30:5555/rtp/225.1.2.31:5002
东方卫视,http://171.107.73.207:4000/rtp/239.81.0.29:4056
东方卫视,http://118.79.115.210:6000/rtp/226.0.2.175:9312
东方卫视,http://118.79.115.210:6000/rtp/226.0.2.34:8184
东方卫视,http://171.116.183.226:8085/rtp/226.0.2.175:9312
东方卫视,http://171.116.183.226:8085/rtp/226.0.2.34:8184
江苏卫视,http://124.163.112.145:6001/rtp/226.0.2.176:9320
江苏卫视,http://124.163.112.145:6001/rtp/226.0.2.38:8216
江苏卫视,http://183.130.6.35:8889/rtp/233.50.201.106:5140
江苏卫视,http://183.130.6.35:8889/rtp/233.50.201.41:5140
江苏卫视,http://171.116.226.246:8082/rtp/226.0.2.176:9320
江苏卫视,http://171.116.226.246:8082/rtp/226.0.2.38:8216
江苏卫视,http://115.201.166.117:9999/rtp/233.50.201.106:5140
江苏卫视,http://115.201.166.117:9999/rtp/233.50.201.41:5140
江苏卫视,http://110.178.52.91:8082/rtp/239.1.1.35:8035
江苏卫视,http://60.27.20.30:5555/rtp/225.1.1.126:5002
江苏卫视,http://110.178.52.195:8085/rtp/239.1.1.35:8035
江苏卫视,http://171.107.73.207:4000/rtp/239.81.0.34:4056
江苏卫视,http://27.11.49.234:8002/rtp/225.0.4.79:7980
江苏卫视,http://118.79.115.210:6000/rtp/226.0.2.176:9320
江苏卫视,http://118.79.115.210:6000/rtp/226.0.2.38:8216
港·澳·台,#genre#
凤凰中文,http://183.130.6.35:8889/rtp/233.50.200.191:5140
凤凰中文,http://115.201.166.117:9999/rtp/233.50.200.191:5140
凤凰中文,http://60.189.43.82:9999/rtp/233.50.200.191:5140
凤凰中文,http://124.230.56.141:55555/rtp/239.76.253.135:9000
凤凰中文,http://115.203.157.51:58888/rtp/233.50.200.191:5140
凤凰中文,http://115.230.183.55:9999/rtp/233.50.200.191:5140
凤凰中文,http://115.193.30.85:9999/rtp/233.50.200.191:5140
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://183.130.6.35:8889/rtp/233.50.200.192:5140
凤凰资讯,http://115.201.166.117:9999/rtp/233.50.200.192:5140
凤凰资讯,http://60.189.43.82:9999/rtp/233.50.200.192:5140
凤凰资讯,http://124.230.56.141:55555/rtp/239.76.253.134:9000
